symbol,time,open,high,low,close,tick_volume,spread,real_volume
EURUSD,2025.09.17 16:00:00,1.18430,1.18522,1.18418,1.18494,3456,11,0
EURUSD,2025.09.17 17:00:00,1.18495,1.18588,1.18454,1.18490,4316,11,0
EURUSD,2025.09.17 18:00:00,1.18490,1.18520,1.18430,1.18440,3206,11,0
EURUSD,2025.09.17 19:00:00,1.18440,1.18558,1.18418,1.18527,2452,11,0
EURUSD,2025.09.17 20:00:00,1.18527,1.18547,1.18463,1.18492,2669,11,0
EURUSD,2025.09.17 21:00:00,1.18493,1.19182,1.18184,1.18338,23075,11,0
EURUSD,2025.09.17 22:00:00,1.18338,1.18562,1.18200,1.18239,13040,11,0
EURUSD,2025.09.17 23:00:00,1.18240,1.18270,1.18074,1.18115,2840,11,0
EURUSD,2025.09.18 00:00:00,1.18099,1.18143,1.18095,1.18128,373,35,0
EURUSD,2025.09.18 01:00:00,1.18120,1.18216,1.18117,1.18183,1544,12,0
EURUSD,2025.09.18 02:00:00,1.18184,1.18283,1.18170,1.18246,1516,11,0
EURUSD,2025.09.18 03:00:00,1.18247,1.18277,1.18146,1.18247,3278,11,0
EURUSD,2025.09.18 04:00:00,1.18247,1.18281,1.18070,1.18132,3893,11,0
EURUSD,2025.09.18 05:00:00,1.18133,1.18220,1.18121,1.18189,1873,11,0
EURUSD,2025.09.18 06:00:00,1.18189,1.18222,1.18112,1.18116,1162,11,0
EURUSD,2025.09.18 07:00:00,1.18117,1.18131,1.17931,1.17944,1751,11,0
EURUSD,2025.09.18 08:00:00,1.17945,1.17997,1.17849,1.17902,2521,11,0
EURUSD,2025.09.18 09:00:00,1.17903,1.17990,1.17798,1.17938,4091,11,0
EURUSD,2025.09.18 10:00:00,1.17937,1.18381,1.17932,1.18311,5299,11,0
EURUSD,2025.09.18 11:00:00,1.18311,1.18337,1.18205,1.18272,5100,11,0
EURUSD,2025.09.18 12:00:00,1.18272,1.18477,1.18266,1.18375,3892,11,0
EURUSD,2025.09.18 13:00:00,1.18374,1.18397,1.18304,1.18363,3350,11,0
EURUSD,2025.09.18 14:00:00,1.18367,1.18367,1.18193,1.18247,4813,11,0
EURUSD,2025.09.18 15:00:00,1.18248,1.18255,1.17946,1.17951,6637,11,0
EURUSD,2025.09.18 16:00:00,1.17951,1.17956,1.17496,1.17666,9027,11,0
EURUSD,2025.09.18 17:00:00,1.17666,1.17811,1.17624,1.17749,8259,11,0
EURUSD,2025.09.18 18:00:00,1.17749,1.17871,1.17689,1.17790,5766,11,0
EURUSD,2025.09.18 19:00:00,1.17790,1.17873,1.17717,1.17865,4030,11,0
EURUSD,2025.09.18 20:00:00,1.17865,1.17933,1.17852,1.17872,3216,11,0
EURUSD,2025.09.18 21:00:00,1.17870,1.17891,1.17815,1.17873,2551,11,0
EURUSD,2025.09.18 22:00:00,1.17872,1.17907,1.17820,1.17844,2288,11,0
EURUSD,2025.09.18 23:00:00,1.17844,1.17864,1.17808,1.17864,1574,11,0
EURUSD,2025.09.19 00:00:00,1.17829,1.17874,1.17762,1.17859,598,35,0
EURUSD,2025.09.19 01:00:00,1.17817,1.17889,1.17817,1.17863,1631,12,0
EURUSD,2025.09.19 02:00:00,1.17859,1.17901,1.17858,1.17884,481,11,0
EURUSD,2025.09.19 03:00:00,1.17884,1.17900,1.17749,1.17860,1918,11,0
EURUSD,2025.09.19 04:00:00,1.17859,1.17863,1.17739,1.17749,2311,11,0
EURUSD,2025.09.19 05:00:00,1.17748,1.17802,1.17715,1.17790,1641,11,0
EURUSD,2025.09.19 06:00:00,1.17790,1.17919,1.17790,1.17810,3546,11,0
EURUSD,2025.09.19 07:00:00,1.17811,1.17892,1.17698,1.17735,3808,11,0
EURUSD,2025.09.19 08:00:00,1.17735,1.17774,1.17704,1.17725,1678,11,0
EURUSD,2025.09.19 09:00:00,1.17723,1.17769,1.17627,1.17659,5433,11,0
EURUSD,2025.09.19 10:00:00,1.17660,1.17776,1.17569,1.17694,5202,11,0
EURUSD,2025.09.19 11:00:00,1.17694,1.17704,1.17506,1.17604,3889,11,0
EURUSD,2025.09.19 12:00:00,1.17603,1.17682,1.17557,1.17592,3316,11,0
EURUSD,2025.09.19 13:00:00,1.17591,1.17648,1.17578,1.17606,2532,11,0
EURUSD,2025.09.19 14:00:00,1.17606,1.17617,1.17345,1.17362,3650,11,0
EURUSD,2025.09.19 15:00:00,1.17362,1.17428,1.17283,1.17355,4800,11,0
EURUSD,2025.09.19 16:00:00,1.17354,1.17632,1.17348,1.17577,5866,11,0
EURUSD,2025.09.19 17:00:00,1.17577,1.17674,1.17554,1.17566,6234,11,0
EURUSD,2025.09.19 18:00:00,1.17566,1.17586,1.17367,1.17517,4683,11,0
EURUSD,2025.09.19 19:00:00,1.17517,1.17546,1.17406,1.17526,2657,11,0
EURUSD,2025.09.19 20:00:00,1.17526,1.17546,1.17482,1.17503,2020,11,0
EURUSD,2025.09.19 21:00:00,1.17502,1.17507,1.17463,1.17477,1548,11,0
EURUSD,2025.09.19 22:00:00,1.17477,1.17503,1.17447,1.17471,1371,11,0
EURUSD,2025.09.19 23:00:00,1.17471,1.17473,1.17398,1.17434,1197,11,0
EURUSD,2025.09.22 00:00:00,1.17439,1.17445,1.17378,1.17443,402,53,0
EURUSD,2025.09.22 01:00:00,1.17443,1.17475,1.17385,1.17402,1103,12,0
EURUSD,2025.09.22 02:00:00,1.17403,1.17410,1.17351,1.17359,1126,11,0
EURUSD,2025.09.22 03:00:00,1.17359,1.17375,1.17255,1.17341,2375,11,0
EURUSD,2025.09.22 04:00:00,1.17341,1.17405,1.17310,1.17319,2955,11,0
EURUSD,2025.09.22 05:00:00,1.17319,1.17331,1.17267,1.17276,1897,11,0
EURUSD,2025.09.22 06:00:00,1.17273,1.17344,1.17273,1.17320,1330,11,0
EURUSD,2025.09.22 07:00:00,1.17320,1.17320,1.17258,1.17301,1119,11,0
EURUSD,2025.09.22 08:00:00,1.17301,1.17380,1.17293,1.17379,1307,11,0
EURUSD,2025.09.22 09:00:00,1.17380,1.17482,1.17354,1.17429,3127,11,0
EURUSD,2025.09.22 10:00:00,1.17429,1.17540,1.17386,1.17478,3671,11,0
EURUSD,2025.09.22 11:00:00,1.17478,1.17686,1.17464,1.17618,4200,11,0
EURUSD,2025.09.22 12:00:00,1.17618,1.17755,1.17610,1.17754,2929,11,0
EURUSD,2025.09.22 13:00:00,1.17754,1.17852,1.17732,1.17736,2773,11,0
EURUSD,2025.09.22 14:00:00,1.17734,1.17817,1.17688,1.17775,2364,11,0
EURUSD,2025.09.22 15:00:00,1.17775,1.17868,1.17726,1.17826,4097,11,0
EURUSD,2025.09.22 16:00:00,1.17826,1.17873,1.17681,1.17763,5664,11,0
EURUSD,2025.09.22 17:00:00,1.17762,1.17766,1.17622,1.17693,4251,11,0
EURUSD,2025.09.22 18:00:00,1.17693,1.17751,1.17637,1.17718,3543,11,0
EURUSD,2025.09.22 19:00:00,1.17718,1.17897,1.17708,1.17876,2883,11,0
EURUSD,2025.09.22 20:00:00,1.17876,1.17966,1.17850,1.17959,1821,11,0
EURUSD,2025.09.22 21:00:00,1.17955,1.17988,1.17918,1.17959,1671,11,0
